,0,1,2
0,Danish King's Garden,59.4357013,24.7409474
1,Deer's Park,59.4335267,24.7369198
2,Linnahaljastus OÜ,59.4314949,24.7133869
3,RMK külastuskorraldusosakond,59.43604,24.733026
4,Tuvi Park,59.42885139999999,24.7387232
5,Kaarli Boulevard,59.43261469999999,24.7418443
6,Kuberneri (Governor's) Garden,59.43500770000001,24.7380089
7,Lembitu park,59.4316046,24.7554837
8,Tiigiveski park,59.42759340000001,24.758884
9,Kodu Park,59.4228697,24.7537845
10,Poolamäe Park,59.4259455,24.7598885
11,Naissaare peo-ja reisilaev Monica,59.4463666,24.7489146
12,Japanese Garden in Kadriorg Park,59.4419347,24.7992996
13,Avipoint Ltd.,59.41571399999999,24.678099
14,Oravamäe Park,59.3923554,24.7244956
15,Haljassaare puukool,59.4106153,24.663327
16,Kadriorg Park,59.437682,24.7900499
17,Tammsaare Park,59.4357426,24.7524123
18,Tõnismäe haljak,59.4312398,24.7397976
19,Hõlmikpuuhaljak,59.4301784,24.7451404
20,Japanese Garden in Kadriorg Park,59.4419347,24.7992996
21,Maarjamäe Kommunismiohvrite Memoriaal,59.4566501,24.8137212
22,Pirita terviserada,59.4633566,24.855573
23,Pirita Harbour Camping,59.4671451,24.8245121
24,Poolamäe Park,59.4259455,24.7598885
25,Tiigiveski park,59.42759340000001,24.758884
26,Lembitu park,59.4316046,24.7554837
27,Kodu Park,59.4228697,24.7537845
28,Kadriorg Park,59.437682,24.7900499
29,Tallinn City Camping,59.44841820000001,24.8083111
30,Laagna aed,59.4419071,24.83131809999999
31,Koorti pereväljak 30,59.4423576,24.8260948
32,LINSPA OU,59.4278,24.870468
33,Pae aed,59.4318373,24.8085983
34,Парковый променад,59.44659309999999,24.8473884
35,Tondiraba Park,59.4459953,24.851931
36,Pae park,59.43325669999999,24.8030845
37,Ülemiste City,59.42180140000001,24.8001188
38,Kivila Park,59.44695830000001,24.8682652
39,Moskva pst,59.444708,24.8728981
40,Pandju islet,59.5504682,24.78444739999999
41,Aegna loodusrada,59.573726,24.75716989999999
42,Krillimäe maastikukaitseala,59.5343471,24.8213049
43,Rohuneeme maastikukaitseala,59.5534,24.8184196
44,Arctic Spas OÜ,59.5037244,24.826573
45,Maidla Lilled OÜ,59.4986173,24.8316536
46,Tädu loodusõpperada (RMK),59.5203551,24.8953562
47,Juhani Puukool - Viimsi Istikuäri,59.49832669999999,24.8279489
48,Elkonte Grupp OÜ,59.50729320000001,24.82177
49,Viimsi mõisa park,59.50308579999999,24.8303986
50,Laidoneri Park,59.5018998,24.8310022
51,Tädu õpperada,59.50087629999999,24.8371109
52,Tädu campfire site,59.5134015,24.8979853
53,Soosepa raba,59.4975238,24.8621605
54,Pandju islet,59.5504682,24.78444739999999
55,Soosepa raba matkarada,59.49699999999999,24.8631
56,Merivälja park,59.4936174,24.8417815
57,Dogs' beach,59.4922266,24.8288724
58,Viimsi Koera treeningplats,59.50042790000001,24.8894805
59,Meriaia haljak,59.4906083,24.84053939999999
60,Krillimäe maastikukaitseala,59.5343471,24.8213049
61,Leppneeme-Tammneeme maastikukaitseala,59.5368039,24.8700192
62,Mäealuse maastikukaitseala,59.51583,24.8823594
63,Lubja klindiastangu maastikukaitseala,59.5150088,24.8436768
64,Tädu loodusõpperada (RMK),59.5203551,24.8953562
65,Tädu campfire site,59.5134015,24.8979853
66,Viimsi Koera treeningplats,59.50042790000001,24.8894805
67,Hansumäe giant boulders,59.4905175,24.9386587
