,Latitude,Longtitude
0,28.389777,77.0555867
1,28.3897777,77.0555558
2,28.3897784,77.055525
3,28.3897791,77.0554941
4,28.3897799,77.0554633
5,28.3897806,77.0554324
6,28.3897813,77.0554016
7,28.389782,77.0553707
8,28.3897828,77.0553399
9,28.3897835,77.055309
10,28.3897842,77.0552782
11,28.3897849,77.0552473
12,28.3897856,77.0552165
13,28.3897864,77.0551856
14,28.3897871,77.0551548
15,28.3897878,77.0551239
16,28.3897885,77.0550931
17,28.3897892,77.0550622
18,28.38979,77.0550314
19,28.3897907,77.0550005
20,28.3897914,77.0549697
21,28.3900032,77.0555145
22,28.390215,77.0560592
23,28.3904267,77.056604
24,28.3906385,77.0571488
25,28.3908503,77.0576935
26,28.3910621,77.0582383
27,28.3912739,77.0587831
28,28.3914856,77.0593278
29,28.3916974,77.0598726
30,28.3919092,77.0604174
31,28.392121,77.0609621
32,28.3923328,77.0615069
33,28.3925445,77.0620516
34,28.3927563,77.0625964
35,28.3929681,77.0631412
36,28.3931799,77.0636859
37,28.3933917,77.0642307
38,28.3936034,77.0647755
39,28.3938152,77.0653202
40,28.394027,77.065865
41,28.3953765,77.0651678
42,28.396726,77.0644706
43,28.3980755,77.0637734
44,28.399425,77.0630762
45,28.4007745,77.062379
46,28.402124,77.0616818
47,28.4034735,77.0609846
48,28.404823,77.0602874
49,28.4061725,77.0595902
50,28.407522,77.058893
51,28.4088715,77.0581958
52,28.410221,77.0574986
53,28.4115705,77.0568014
54,28.41292,77.0561042
55,28.4142695,77.055407
56,28.415619,77.0547098
57,28.4169685,77.0540126
58,28.418318,77.0533154
59,28.4196675,77.0526182
60,28.421017,77.051921
61,28.422256,77.053127
62,28.423495,77.054333
63,28.424734,77.055539
64,28.425973,77.056745
65,28.427212,77.057951
66,28.428451,77.059157
67,28.42969,77.060363
68,28.430929,77.061569
69,28.432168,77.062775
70,28.433407,77.063981
71,28.434646,77.065187
